word,count
boabr,1
xmlnsbr,2
xmlnspdivdiv,2
classpagediv,2
classpagenum,2
no,8
page,2
number,2
divp,2
classtextz,2
z,4
e,4
a,59
is,24
found,2
in,37
the,127
saxon,1
alphabets,1
set,2
down,3
by,17
grammarians,1
but,14
read,1
word,1
origi,1
nally,1
teutonick,1
its,8
sound,1
uniformly,1
that,11
of,86
an,11
hard,1
s,12
zaffar,1
n,6
zaf,1
fir,1
powder,1
calx,1
cobalt,2
very,2
fine,1
and,63
mix,1
it,18
with,22
three,2
times,1
weight,1
powdered,1
flints,1
this,8
being,7
wetted,1
eommon,1
water,1
whole,3
concretes,1
into,9
solid,2
mass,1
called,4
zoffre,1
which,8
from,8
hardness,1
has,2
been,3
mistaken,1
for,17
na,1
tive,1
mineral,2
hill,1
on,7
foassis,1
sublimed,1
flowers,1
are,15
blue,2
colour,1
these,4
german,1
mineralists,1
call,1
zoaffir,1
jozdward,1
artificers,1
glass,2
tinge,1
their,7
dark,1
zaphara,1
bo,1
le,1
colours,3
zany,4
ns,12
probably,1
zanti,1
contraction,1
gio,1
vanni,1
or,19
sanna,1
scoff,1
according,1
to,41
skinner,1
one,7
em,1
ployed,1
raise,1
laughter,1
his,15
gestures,1
actions,2
speeches,1
merry,2
andrew,1
buffoon,1
some,7
carrytale,1
pleaseman,1
slight,1
mumblenews,1
trencher,1
knight,1
dick,1
told,1
our,7
intents,1
before,2
shakespeare,3
then,3
write,1
i,15
may,1
follow,1
so,5
be,14
thy,10
echo,1
debtor,1
foil,1
shall,4
thought,2
if,5
mine,3
like,5
thine,1
shape,1
all,10
worlds,1
lion,1
though,4
ape,1
donne,1
oh,1
great,3
restorer,1
good,4
old,1
stage,1
preacher,1
at,4
once,2
age,3
popes,1
dunciad,1
za,4
ich,4
substance,1
orpiment,2
frequently,1
approaches,2
nature,3
orpi,1
ment,2
without,1
lustre,1
foliated,1
texture,1
comi,1
mon,1
kinds,1
green,2
yellow,1
we,11
owe,1
distina9tion,1
rpiment,1
there,2
such,3
subiance,1
as,14
contains,1
large,2
quantity,1
arsenick,1
hills,1
materia,1
medica,1
zeal,18
m,6
oaos,1
zel,1
latin,2
passionate,4
ardour,1
any,9
person,2
cause,6
present,1
wherein,2
hath,2
drowned,1
charity,1
skill,1
meekness,1
will,4
not,14
now,1
suffer,1
man,2
marvel,1
what,2
soever,1
he,6
hear,1
reproved,1
whomsoever,1
hocker,1
had,5
time,1
have,8
made,1
new,1
liveries,1
would,4
bestowe,1
thousand,1
pound,1
borrowed,1
you,2
matter,1
poor,1
show,2
doth,2
better,2
infer,1
see,2
him,1
shakespeares,2
henry,1
iv,1
o,5
cromwell,2
servd,2
my,3
god,5
half,3
king,3
left,1
me,1
naked,1
enemies,1
among,2
seraphims,1
abdiel,1
than,5
whom,1
none,2
more,5
adord,1
deity,1
divine,1
commands,1
obeyd,1
stood,1
up,2
flame,2
severe,1
current,1
fury,3
thus,1
opposd,1
miltons,3
parad,1
oft,1
blind,1
conductor,1
dryden,6
she,1
embracd,1
women,1
where,2
they,7
haste,1
father,1
mother,1
kin,1
beside,1
were,4
overb,1
rhe,1
tide,1
princes,1
applaud,1
furious,1
joy,1
seizd,1
flambeau,1
destroy,1
seriousness,1
religion,5
natural,1
english,1
till,1
tsons,1
sermons,1
men,5
often,2
blemish,1
reputation,1
picty,1
overacting,1
things,4
india9reet,1
zoaoas,1
about,3
conce,2
ed,2
hilotson,1
true,4
seems,1
single,1
affection,1
foul,1
rather,1
strong,1
mixture,1
many,2
holy,1
affections,1
ra,1
ther,1
gracious,1
constitution,1
mind,1
pa9ticular,1
grace,1
swaying,1
devout,2
heart,1
filling,1
pious,2
intentions,2
only,5
uncounterfeit,1
most,3
vent,1
sprats,2
sermon,1
when,5
fins,1
nation,1
provoked,1
forsake,1
suffers,1
those,5
concur,1
pe,2
icious,1
counsels,1
enslaving,1
conscience,1
who,4
pretend,1
greatest,3
liberty,1
stillingfut,1
rebellion,1
discovered,1
majesty,1
spoused,1
interests,1
indifference,1
addisons,1
frah,1
sco,1
flattery,1
truth,1
poape,1
zealot,2
zeloteur,1
french,3
oanxo,1
ly,1
ardent,1
generally,1
used,1
dispraise,1
zealots,2
intestine,1
bitte,1
ess,1
division,2
occasion,1
last,3
fatal,1
destruction,1
jerusalem,1
charles,1
too,2
notoriously,1
ignorant,2
should,3
always,1
begin,1
knowledge,1
thence,2
proceed,1
unwearied,1
passion,2
knows,1
worthy,1
sprat,1
wonder,1
deluded,1
engaged,1
first,2
abhorred,1
wish,1
acted,1
success,1
enterprize,1
might,1
ended,1
extirpation,1
protestant,1
addison,1
zealous,5
adj,2
ardently,1
hearts,1
right,1
act,1
temporal,1
affairs,1
desire,1
greater,1
necessity,1
active,1
operative,1
far,1
prudence,1
permit,1
yayloar,1
day,1
height,1
noon,1
came,1
sphere,2
spirit,1
seemd,1
know,2
almightys,1
works,1
paradis,1
loaft,1
towards,2
zaku,1
endeavouring,1
prudent,1
means,2
recoaver,1
them,1
out,1
snares,1
devil,1
whereby,1
taken,1
captive,1
decay,1
piety,1
against,2
crimes,1
zealoaus,1
thing,3
foar,1
persons,1
rule,1
does,1
certainly,1
exclude,1
manner,2
ill,1
little,2
instructed,1
general,1
zealou,1
design,1
finite,1
beings,1
admitted,1
soa,2
gove,1
resorts,1
providence,1
coapal,1
dis,1
covering,1
final,2
purposes,1
must,2
conducing,1
ends,1
alone,1
can,2
oppose,1
each,1
other,4
zeaxe2x80x99iously,1
adv,1
zalus,1
care,1
fixt,2
zealously,1
attends,1
fill,1
odorous,1
lamp,1
deeds,1
light,2
milton,5
hope,1
reaps,1
shame,2
oa,9
enter,1
party,1
order,1
friar,1
signed,1
obedience,1
superiors,1
unsuitable,1
woa,1
ift,1
civil,1
religious,1
liberties,1
zealoausy,1
assert,1
bei,1
zealousness,1
j,2
quality,1
lous,1
zec,1
h1n,1
sso,1
named,1
zecha,1
place,1
mint,1
settled,1
c,2
inage,1
gold,2
coin,1
nine,1
shillings,1
sterling,1
zf,1
doary,1
zed,3
aire,1
spicy,1
plant,1
somewhat,1
ginger,1
leaves,1
sweet,1
scent,1
name,1
letter,1
xe2x80x98i,1
whoreson,1
thou,1
unnecessaryle,1
shoaster,1
zen,1
h,1
arabick,1
point,1
over,1
nadir,1
fond,1
believe,1
do,1
under,1
zenith,2
both,2
frozen,1
poles,2
ive,1
come,1
advertisement,1
toa,1
goaxe2x80x9d,1
davies,1
why,1
bear,1
faith,1
sun,5
seasons,1
designed,2
motion,1
sus,1
int,1
ca,1
nearest,1
yoa,1
summer,1
boaoa,1
g,1
venice,1
orth,1
head,2
opposite,1
xe2x80x9dbr,1
zephy,1
r,1
zephyrus,3
west,1
wind,2
poetically,1
calm,1
soft,1
gentle,1
zephyrs,1
blowing,1
blow,1
violet,1
cymbeline,1
zephyr,3
youth,1
countenance,1
holding,1
hand,2
swan,1
wings,1
displayed,1
sing,1
peacham,1
drawing,1
forth,1
rush,1
levent,1
ponent,1
winds,1
eurus,1
mild,1
flora,1
breathes,1
every,1
musick,1
wakes,1
whence,1
blending,1
sweetenxe2x80x99d,1
springs,1
thomsoan,1
zest,2
1,2
peel,1
orange,1
squeezed,1
wine,1
2,2
relish,2
taste,1
added,1
v,1
heighten,1
additional,1
zetoarick,1
xc5xa0ario,1
proceeding,1
enquiry,1
zeuxe2x80x99gma,1
ms,1
xc3x87oayuz,1
figure,2
verb,1
agreeing,1
divers,2
nouns,1
adjective,1
substantives,1
referred,1
expresly,1
supplement,1
lust,2
overcame,1
boldness,1
fear,1
mad,1
ness,1
reason,1
zocle,1
architeampture,2
small,1
sort,1
stand,1
destal,1
low,2
square,2
piece,1
member,2
serving,2
sup,1
port,1
busto,1
statue,1
needs,1
raised,1
also,1
support,1
column,3
instead,1
pedestal,1
base,1
plinth,1
dic7,2
zod1,1
ack,1
zoadiaque,1
xc5x9awozza8s,1
ix,1
roaw,2
oawy,1
living,3
creatures,3
figures,2
painted,1
globes,1
track,1
through,1
twelve,2
signs,2
circle,3
containing,1
golden,2
salutes,1
mo,1
having,1
gilt,1
ocean,1
beams,1
gallops,1
zodiack,4
glistring,2
coach,1
years,1
numberd,1
scarce,4
thirteen,1
fates,1
tu,1
xe2x80x99d,1
cruel,1
yet,2
filld,1
zodiacks,1
stages,1
jewel,1
ben,1
johnson,1
side,1
hung,1
sword,1
satans,1
dire,1
dread,1
spear,1
exceeds,1
even,1
absurdity,1
suppose,1
planets,1
efficient,1
antecedent,1
themselves,1
exert,1
influences,1
bentley,1
here,1
shrine,1
cast,1
dazling,1
sat,1
mighty,1
stagyrite,1
sacred,1
radiant,1
crownd,1
yarious,1
animals,5
sides,1
surround,1
pope,2
zone,7
wh,1
zona,1
latinl,1
girdle,1
middle,3
part,2
girt,1
starry,1
waist,2
round,1
skirted,1
loins,1
thighs,1
downy,1
dippd,1
heavn,2
paradise,1
loft,1
embroiderd,1
surrounds,1
her,2
